ds,yhat,yhat_lower,yhat_upper
2023-04-15,24488.270469853684,22119.766481947147,26983.555678420482
2023-04-16,24720.535984532107,22359.384619918805,27207.500947778586
2023-04-17,24885.7244020902,22502.992089396535,27346.391666247324
2023-04-18,24895.851446087592,22551.24740332762,27466.013877226807
2023-04-19,24960.2878656172,22569.89271664995,27356.798315339896
2023-04-20,25195.001079199996,23109.418851771876,27868.965080527505
2023-04-21,25222.471699801194,22832.039894951584,27543.747827161937
2023-04-22,25349.92121807357,22954.96795727536,27736.62119165121
2023-04-23,25573.210665258695,23278.170951653232,27880.668841558614
2023-04-24,25721.854818986743,23261.353820583325,28209.167722675542
2023-04-25,25707.916937705268,23208.457941454108,28042.399405712837
2023-04-26,25741.012685097765,23212.707407082,28264.576162101785
2023-04-27,25937.551085831576,23528.342261090125,28200.121079357017
2023-04-28,25920.645074919503,23542.622123254867,28471.902535533758
2023-04-29,25998.327955406035,23596.73434961495,28479.370492765276
2023-04-30,26167.435767008326,23803.610175149723,28402.231645791224
2023-05-01,26258.60045168164,23771.98464949149,28666.955592355265
2023-05-02,26185.1192599538,23797.497795556657,28524.199972998464
2023-05-03,26157.92964297977,23693.54769544061,28653.41821494403
2023-05-04,26294.81816715803,23837.768353291718,28748.396750934015
2023-05-05,26210.08976455235,23949.61216665789,28705.750775786863
2023-05-06,26223.369697598726,23893.75357401716,28730.493009946687
2023-05-07,26332.828763685407,23956.604358926477,28769.198744411402
2023-05-08,26370.34796952577,23964.00041876896,28855.74300504984
2023-05-09,26250.353873133197,23904.374294645295,28540.427675944116
2023-05-10,26184.761808104333,23897.5547526872,28675.58942338963
2023-05-11,26292.15640996995,24088.639594849254,28640.722197779913
2023-05-12,26197.64360850372,23847.961532663765,28527.498364017552
2023-05-13,26211.01198264341,23815.72737515589,28594.334288546106
2023-05-14,26330.56500007191,23844.217535492833,28665.37950385559
2023-05-15,26388.07044228494,24110.104247478946,28797.753957893103
2023-05-16,26297.59372958372,23914.035232881637,28622.791830532147
2023-05-17,26270.445480781476,23922.282029390637,28654.73869048516
2023-05-18,26424.372721427484,24043.085821946283,29036.949633747554
2023-05-19,26383.427730636264,23907.993481592617,28677.854665611394
2023-05-20,26456.152083777135,23986.71254355542,28712.953793467896
2023-05-21,26639.436914814527,24420.281782898706,29015.610410175796
2023-05-22,26763.5050531436,24384.89012407745,29252.157630057667
2023-05-23,26740.780970888212,24215.190300788145,29277.434835443946
2023-05-24,26780.877983424718,24434.86419605041,29469.150373954744
2023-05-25,26999.83113365299,24502.839891056934,29395.513235085644
2023-05-26,27020.008700488655,24749.101259317405,29476.977064679377
2023-05-27,27148.338799898323,24678.203583422244,29740.397352651526
2023-05-28,27380.21100240424,25231.38503800866,29817.998997542552
2023-05-29,27544.497540033073,25011.320544583585,29900.734221395218
2023-05-30,27552.459003633907,25119.495529726788,30012.035268517673
2023-05-31,27612.763012888834,25288.56283310594,30068.368015127817
2023-06-01,27840.743429869905,25298.92070357709,30347.99990575549
2023-06-02,27858.332321344176,25449.024665773668,30096.085569602845
2023-06-03,27972.300547927152,25614.61802700974,30245.562140334816
2023-06-04,28178.166475694772,25866.16237285933,30533.99842067182
2023-06-05,28305.217129628418,25851.08175367362,30906.34857073953
2023-06-06,28265.406619135196,25762.901079134564,30586.900730485635
2023-06-07,28247.594105592598,25742.07876473023,30634.543456658987
2023-06-08,28389.080823699205,25933.960102906058,30797.853132480912
2023-06-09,28313.215560255052,25850.01608917525,30899.852311085466
2023-06-10,28328.368395605365,25979.30467334037,30642.44670073375
2023-06-11,28431.80136115544,26063.72134513514,30747.900846740882
2023-06-12,28454.64759045155,26042.209779161323,30768.108171473665
2023-06-13,28310.764832594126,25915.429406797517,30760.40184771604
2023-06-14,28211.693046657696,25729.062477286996,30793.966938474354
2023-06-15,28275.845122538958,25780.444033210675,30606.226772849608
2023-06-16,28128.364609605356,25793.93223035733,30677.002352049964
2023-06-17,28079.288166743503,25825.30073811522,30589.53595602919
2023-06-18,28127.37417760239,25765.929140880107,30528.7523740385
2023-06-19,28105.0438613435,25465.62210028708,30403.743222693785
2023-06-20,27927.201730988672,25651.707252461096,30420.447520148788
2023-06-21,27806.165977786903,25517.92795720647,30266.97120926051
2023-06-22,27860.83854038729,25248.133142103285,30299.508784181766
2023-06-23,27716.54928809308,25321.970212407887,30066.575699133777
2023-06-24,27683.21239948245,25377.072403466485,30138.396963634586
2023-06-25,27759.156557590184,25265.44593364115,30088.159984813537
2023-06-26,27776.075273964074,25504.351478973585,30130.759760091783
2023-06-27,27647.86398032986,25377.368626676405,29905.193123725512
2023-06-28,27585.574062717118,25090.840995168128,30107.322012396395
2023-06-29,27706.61301322312,25271.888846653215,30036.097551099178
2023-06-30,27634.624379927478,25087.83491767673,30139.947043187934
2023-07-01,27677.68470160444,25152.211288167182,30225.23342561487
2023-07-02,27832.178030981777,25548.465088664845,30337.418952066593
2023-07-03,27927.793244969707,25687.34668506353,30239.237940872317
2023-07-04,27876.409599107104,25375.873981476238,30256.743461718062
2023-07-05,27887.099482640733,25524.287136124643,30182.755867210704
2023-07-06,28075.376325625723,25655.50836577241,30577.006347798982
2023-07-07,28063.120141128114,25680.142587230726,30485.72518026888
2023-07-08,28156.816749089077,25819.952279831265,30696.01393229677
2023-07-09,28351.47023230303,25986.35427594245,30751.48483397309
2023-07-10,28455.22281781231,25844.552276248367,30871.287030407788
2023-07-11,28399.497168222977,25926.072083011855,30907.809985691467
2023-07-12,28392.788738984644,25972.467567119424,30537.968794120254
2023-07-13,28550.33634189741,26201.608957476015,31000.062167331165
2023-07-14,28494.05278691003,26102.16227432885,30899.36382659503
2023-07-15,28530.761624906947,26101.659176115896,30806.220773002235
2023-07-16,28656.099646642302,26355.52638492046,30846.698887978193
2023-07-17,28699.529692273034,26360.54930368899,31121.15661903951
2023-07-18,28573.228904902942,26051.733603248034,31055.090349741382
2023-07-19,28487.081387910133,25941.176736194753,30989.123031218027
2023-07-20,28557.90354648557,26158.575998318305,30938.08162057758
2023-07-21,28409.33524112619,25780.574572559344,30717.49322092901
2023-07-22,28350.033741662333,26001.505671267554,30937.60803584399
2023-07-23,28377.53124565591,26176.606223864204,30796.265837815426
2023-07-24,28323.201671992636,25906.67301847719,30755.446432393903
2023-07-25,28101.10303662481,25591.567131066513,30458.977576022542
2023-07-26,27922.925530234752,25483.16707981809,30470.200690256028
2023-07-27,27907.174694482444,25611.702724129358,30412.90487363258
2023-07-28,27679.02386825946,25223.264620285907,29819.767955651994
2023-07-29,27548.473836914007,25033.595710960853,29997.294115470682
2023-07-30,27514.181269512315,25065.934404213465,29863.248477654804
2023-07-31,27408.402332596066,24972.165953686126,29726.575583412414
2023-08-01,27145.818304947847,24916.132206300736,29607.228028878028
2023-08-02,26938.473658546045,24712.060595431856,29450.131599742734
2023-08-03,26904.956168194913,24646.15635692087,29453.129396128366
2023-08-04,26670.253204921137,24099.975240240936,29188.725377986648
2023-08-05,26543.92194988852,24280.919347746236,28787.301229173176
2023-08-06,26523.93474486847,24240.603752109168,28800.182944729906
2023-08-07,26441.64543744672,24102.497762968746,28909.62732614623
2023-08-08,26210.642869767154,23753.132386337893,28754.013113414097
2023-08-09,26041.721174316583,23576.37031694646,28429.480894961453
2023-08-10,26052.09553428725,23514.29708984422,28752.380095143806
2023-08-11,25865.29658060608,23464.447386549575,28156.236719375447
2023-08-12,25789.3801283226,23330.013006648576,28189.157786077543
2023-08-13,25820.812001188282,23364.420034599574,28093.3859911384
2023-08-14,25789.474802273453,23496.55293665317,28230.032688315892
2023-08-15,25607.55765907128,23015.711647421987,27917.659648022094
2023-08-16,25484.561751023848,23135.936439865356,27857.037816078733
2023-08-17,25536.5473530033,23380.92864927267,27987.664752504737
2023-08-18,25386.05521138616,23025.192710934043,27803.860453250076
2023-08-19,25340.33831607891,23037.57463743781,27766.334635603293
2023-08-20,25395.263729911847,22925.466713598154,27740.466091393577
2023-08-21,25380.32893761525,22965.662980707908,27677.628561245972
2023-08-22,25207.557660877355,22639.260081663004,27658.573350209637
2023-08-23,25086.50382387629,22589.778773014663,27523.543791059645
2023-08-24,25133.491593866507,22679.752472773853,27633.395630194114
2023-08-25,24971.52419825974,22466.821684741077,27578.181557201904
2023-08-26,24908.498021395244,22605.356826570805,27225.60067712961
2023-08-27,24941.08221305981,22567.33767501888,27385.58727806541
2023-08-28,24899.70895495091,22397.161840721703,27330.99925275992
2023-08-29,24697.44010868111,22398.842969098652,27010.42894373405
2023-08-30,24544.939777310585,22119.151938208164,26860.036398449334
2023-08-31,24559.681599011503,22038.188461494683,26849.620799157812
2023-09-01,24365.824389626083,22012.677510008856,26738.38720020677
2023-09-02,24272.3935486348,21994.541533788186,26651.58500706546
2023-09-03,24277.12934310288,22084.399374414686,26574.053834074377
2023-09-04,24211.448045810874,21712.860907311355,26864.68587600358
2023-09-05,23989.28240679271,21513.54421810743,26440.58689339443
